Batch_Number,SKU_ID,NDC_Code,Drug_Name,Therapeutic_Category,Route_Of_Administration,Dosage_Form,Packaging_Type,Supplier_ID,Supplier_Name,Country_Of_Origin,Purchase_Order_Ref,Quantity_Procured,Unit_Procurement_Cost_USD,Freight_Cost_Per_Unit_USD,Import_Tariff_Rate,Total_Procurement_Cost_USD,Unit_Selling_Price_USD,Maximum_Retail_Price_USD,Discount_Applied_Percent,Quantity_Sold,Total_Sales_Revenue_USD,Gross_Profit_USD,Sales_Channel,Payment_Method,Quantity_Remaining,Reorder_Level,Safety_Stock_Level,Stockout_Occurred,Manufacture_Date,Procurement_Date,Expiry_Date,Shelf_Life_Total_Days,Storage_Condition,Storage_Temperature_Min_C,Storage_Temperature_Max_C,Humidity_Sensitive,Prescription_Required,Controlled_Substance_Class,Quality_Control_Passed,Inspector_ID,Warehouse_Zone,Aisle_Rack_Number,Bin_Location_Code,Handling_Special_Notes,Quantity_Wasted,Wastage_Reason,Wastage_Financial_Loss_USD,Disposal_Method,Disposal_Approval_Status
BAT-2026-27601,SKU-112861,226-8451-57,Ibuprofen 400mg,Analgesic,Oral,Tablet,Strip,SUP-5813,Nexus BioPharma,UK,PO-93422,566,131.61,3.35,0.05,80111.92,195.06,214.57,10,518,101041.08,32867.1,In-Store Pharmacy,Cash,48,50,40,0,2024-12-06,2025-03-13,2025-08-11,248,Room Temperature (15-25°C),15.0,25.0,1,1,Non-Controlled,1,INS-104,Zone-B,Aisle-16-R2,BIN-100,Fragile Glass,48,Expired,6317.28,Incineration,Approved
BAT-2026-44664,SKU-701949,788-5295-84,Lisinopril 10mg,Cardiovascular,Oral,Tablet,Bottle,SUP-9028,PharmaDist Inc,India,PO-65498,1338,51.58,2.72,0.0,72653.4,69.85,76.83,15,698,48755.3,12752.46,Emergency ICU,Cash,640,100,40,0,2025-08-29,2025-09-26,2026-09-22,389,Room Temperature (15-25°C),15.0,25.0,1,1,Non-Controlled,1,INS-110,Cold Vault-1,Aisle-13-R1,BIN-973,Fragile Glass,0,None,0.0,N/A,N/A
BAT-2026-25129,SKU-398151,490-7086-23,Heparin 5000IU/ml,Anticoagulant,Injectable,Vial,Vial Pack,SUP-5813,Nexus BioPharma,Germany,PO-67682,430,75.63,2.35,0.18,39385.16,100.31,110.34,15,224,22469.44,5528.32,Emergency ICU,Credit Card,206,50,80,0,2025-06-09,2025-08-19,2026-04-26,321,Cold Chain (2-8°C),2.0,8.0,1,0,Non-Controlled,1,INS-108,Hazmat Vault,Aisle-12-R1,BIN-131,Fragile Glass,206,Expired,15579.78,Incineration,Approved
BAT-2026-24029,SKU-592198,791-4830-70,Propofol 10mg/ml,Anesthetic,Injectable,Ampoule,Ampoule Box,SUP-8569,Apex Health Supplies,India,PO-74165,1582,180.95,13.23,0.05,321505.9,229.12,252.03,20,753,172527.36,36272.01,Emergency ICU,Cash,829,100,40,0,2025-07-31,2025-11-14,2027-01-04,522,Cold Chain (2-8°C),2.0,8.0,0,1,Non-Controlled,1,INS-105,Cold Vault-2,Aisle-16-R5,BIN-734,Protect from Light,270,Temperature Breach,48856.5,Hazardous Bio-Waste,Approved
BAT-2026-82512,SKU-601968,125-6374-88,Paracetamol 650mg,Analgesic,Oral,Tablet,Strip,SUP-7152,GlobalMed Logistics,Germany,PO-64646,187,34.77,1.47,0.18,7947.24,47.21,51.93,15,156,7364.76,1940.64,In-Store Pharmacy,Government Health Aid,31,200,20,0,2025-02-22,2025-04-11,2026-04-22,424,Room Temperature (15-25°C),15.0,25.0,1,1,Non-Controlled,1,INS-110,Zone-A,Aisle-4-R5,BIN-151,Fragile Glass,31,Expired,1077.87,Incineration,Approved
BAT-2026-30374,SKU-561865,326-2035-91,Albuterol Inhaler,Respiratory,Inhalation,Inhaler,Canister Box,SUP-0769,BioCare Distribution,Switzerland,PO-31344,1496,80.48,3.76,0.05,132042.94,100.61,110.67,5,542,54530.62,10910.46,In-Store Pharmacy,Insurance,954,100,80,0,2025-04-20,2025-05-18,2026-02-10,296,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,1,INS-101,Cold Vault-1,Aisle-3-R3,BIN-977,Fragile Glass,954,Expired,76777.92,Incineration,Approved
BAT-2026-45697,SKU-457256,943-8606-99,Ceftriaxone 1g,Antibiotic,Injectable,Vial,Vial Pack,SUP-7152,GlobalMed Logistics,USA,PO-28919,1223,62.49,2.24,0.12,88335.82,82.54,90.79,5,1001,82622.54,20070.05,Hospital Outpatient,Credit Card,222,50,80,0,2025-02-19,2025-03-10,2026-12-20,669,Cold Chain (2-8°C),2.0,8.0,0,1,Non-Controlled,1,INS-110,Hazmat Vault,Aisle-17-R5,BIN-111,Standard Handling,0,None,0.0,N/A,N/A
BAT-2026-46930,SKU-293319,409-7689-24,Amoxicillin 500mg,Antibiotic,Oral,Capsule,Blister Pack,SUP-5813,Nexus BioPharma,Germany,PO-76294,971,140.49,6.73,0.0,142950.62,238.63,262.49,5,721,172052.23,70758.94,In-Store Pharmacy,Cash,250,200,40,0,2025-09-10,2025-10-04,2026-10-09,394,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,1,INS-107,Cold Vault-1,Aisle-19-R5,BIN-380,Fragile Glass,0,None,0.0,N/A,N/A
BAT-2026-89276,SKU-153872,243-1742-14,Amoxicillin 500mg,Antibiotic,Oral,Capsule,Blister Pack,SUP-8569,Apex Health Supplies,UK,PO-26662,1787,48.36,1.62,0.18,104869.74,77.42,85.16,0,906,70142.52,26328.36,Hospital Outpatient,Credit Card,881,200,20,0,2025-11-06,2025-11-30,2026-12-21,410,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,1,INS-102,Zone-A,Aisle-17-R4,BIN-100,Protect from Light,0,None,0.0,N/A,N/A
BAT-2026-37607,SKU-364742,411-9071-24,Paracetamol 650mg,Analgesic,Oral,Tablet,Strip,SUP-0769,BioCare Distribution,UK,PO-73539,230,131.79,4.76,0.0,31406.5,185.68,204.25,0,153,28409.04,8245.17,Online Fulfillment,Cash,77,50,40,0,2025-03-30,2025-06-26,2026-08-20,508,Room Temperature (15-25°C),15.0,25.0,1,0,Schedule II,1,INS-112,Cold Vault-1,Aisle-18-R2,BIN-410,Protect from Light,77,Expired,10147.83,Incineration,Pending Audit
BAT-2026-54942,SKU-600935,199-4846-78,Metformin 800mg,Antidiabetic,Oral,Tablet,Bottle,SUP-7152,GlobalMed Logistics,India,PO-69993,1785,141.33,3.35,0.0,258253.8,201.79,221.97,5,1190,240130.1,71947.4,In-Store Pharmacy,Insurance,595,200,40,0,2025-07-25,2025-11-10,2027-01-17,541,Room Temperature (15-25°C),15.0,25.0,0,1,Schedule IV,1,INS-108,Hazmat Vault,Aisle-10-R3,BIN-555,Fragile Glass,0,None,0.0,N/A,N/A
BAT-2026-36685,SKU-219629,238-7367-68,Metformin 800mg,Antidiabetic,Oral,Tablet,Bottle,SUP-8569,Apex Health Supplies,India,PO-26958,1432,2.22,0.14,0.18,3951.75,3.36,3.7,10,1256,4220.16,1431.84,In-Store Pharmacy,Insurance,176,50,20,0,2024-12-16,2025-02-01,2026-03-14,453,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,0,INS-111,Zone-A,Aisle-5-R4,BIN-490,Standard Handling,176,Expired,390.72,Incineration,Approved
BAT-2026-93130,SKU-962050,479-9850-63,Propofol 10mg/ml,Anesthetic,Injectable,Ampoule,Ampoule Box,SUP-7152,GlobalMed Logistics,India,PO-77264,869,96.41,5.79,0.18,103892.25,142.97,157.27,20,380,54328.6,17692.8,Online Fulfillment,Government Health Aid,489,200,80,0,2025-06-27,2025-10-19,2027-05-23,695,Cold Chain (2-8°C),2.0,8.0,0,1,Non-Controlled,1,INS-104,Cold Vault-2,Aisle-7-R3,BIN-846,Fragile Glass,66,Damaged/Spillage,6363.06,Incineration,Approved
BAT-2026-44600,SKU-168517,701-3531-63,Albuterol Inhaler,Respiratory,Inhalation,Inhaler,Canister Box,SUP-7152,GlobalMed Logistics,Germany,PO-79355,443,28.27,0.71,0.05,13464.32,44.71,49.18,15,164,7332.44,2696.16,Emergency ICU,Government Health Aid,279,50,20,0,2025-04-04,2025-06-15,2026-12-08,613,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,1,INS-110,Cold Vault-2,Aisle-14-R4,BIN-681,Standard Handling,0,None,0.0,N/A,N/A
BAT-2026-76244,SKU-520172,770-2622-72,Amoxicillin 500mg,Antibiotic,Oral,Capsule,Blister Pack,SUP-8569,Apex Health Supplies,Germany,PO-25474,1615,46.79,1.9,0.18,92236.2,59.93,65.92,20,892,53457.56,11720.88,In-Store Pharmacy,Insurance,723,100,40,0,2025-03-21,2025-04-07,2026-06-27,463,Room Temperature (15-25°C),15.0,25.0,1,1,Non-Controlled,0,INS-111,Cold Vault-2,Aisle-14-R4,BIN-263,Standard Handling,723,Expired,33829.17,Incineration,Approved
BAT-2026-74032,SKU-615633,730-7686-45,Propofol 10mg/ml,Anesthetic,Injectable,Ampoule,Ampoule Box,SUP-8569,Apex Health Supplies,USA,PO-37871,1537,136.64,7.17,0.0,221035.97,176.34,193.97,10,659,116208.06,26162.3,In-Store Pharmacy,Government Health Aid,878,100,20,0,2025-08-23,2025-11-09,2026-04-15,235,Cold Chain (2-8°C),2.0,8.0,0,1,Non-Controlled,1,INS-110,Zone-B,Aisle-3-R4,BIN-199,Standard Handling,878,Expired,119969.92,Incineration,Approved
BAT-2026-42914,SKU-177680,133-7070-37,Metformin 800mg,Antidiabetic,Oral,Tablet,Bottle,SUP-9028,PharmaDist Inc,Germany,PO-69694,905,3.84,0.3,0.0,3746.7,5.29,5.82,10,506,2676.74,733.7,Hospital Outpatient,Insurance,399,50,80,0,2025-09-07,2025-10-11,2026-05-09,244,Room Temperature (15-25°C),15.0,25.0,1,1,Non-Controlled,1,INS-108,Cold Vault-2,Aisle-1-R4,BIN-154,Fragile Glass,399,Expired,1532.16,Incineration,Approved
BAT-2026-16658,SKU-705050,554-8285-40,Lisinopril 10mg,Cardiovascular,Oral,Tablet,Bottle,SUP-5813,Nexus BioPharma,USA,PO-72043,485,139.73,7.74,0.18,83721.38,226.84,249.52,20,330,74857.2,28746.3,In-Store Pharmacy,Cash,155,50,20,0,2024-12-03,2025-03-11,2026-06-17,561,Room Temperature (15-25°C),15.0,25.0,1,1,Non-Controlled,1,INS-101,Zone-B,Aisle-4-R3,BIN-476,Keep Refrigerated,155,Expired,21658.15,Incineration,Pending Audit
BAT-2026-22097,SKU-760021,975-6942-22,Ibuprofen 400mg,Analgesic,Oral,Tablet,Strip,SUP-8569,Apex Health Supplies,UK,PO-14273,1315,163.79,8.72,0.18,265619.74,272.18,299.4,20,634,172562.12,68719.26,Hospital Outpatient,Cash,681,50,40,0,2025-03-22,2025-06-26,2026-09-06,533,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,1,INS-105,Zone-B,Aisle-18-R4,BIN-320,Keep Refrigerated,0,None,0.0,N/A,N/A
BAT-2026-93136,SKU-819796,802-7018-79,Lisinopril 10mg,Cardiovascular,Oral,Tablet,Bottle,SUP-5813,Nexus BioPharma,Germany,PO-30557,1055,197.65,13.92,0.05,233632.39,278.02,305.82,5,856,237985.12,68796.72,Hospital Outpatient,Government Health Aid,199,200,80,0,2025-11-06,2025-11-21,2027-08-11,643,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,0,INS-107,Cold Vault-2,Aisle-20-R4,BIN-761,Fragile Glass,0,None,0.0,N/A,N/A
BAT-2026-65518,SKU-156213,760-6876-17,Propofol 10mg/ml,Anesthetic,Injectable,Ampoule,Ampoule Box,SUP-5813,Nexus BioPharma,India,PO-83272,376,85.62,5.92,0.05,36028.7,144.14,158.55,5,151,21765.14,8836.52,Hospital Outpatient,Credit Card,225,50,20,0,2025-01-22,2025-02-10,2026-11-30,677,Cold Chain (2-8°C),2.0,8.0,1,1,Non-Controlled,1,INS-110,Zone-B,Aisle-10-R4,BIN-295,Keep Refrigerated,161,Temperature Breach,13784.82,Hazardous Bio-Waste,Approved
BAT-2026-46265,SKU-259097,507-5520-34,Ceftriaxone 1g,Antibiotic,Injectable,Vial,Vial Pack,SUP-7152,GlobalMed Logistics,Switzerland,PO-58409,1284,28.17,1.27,0.05,39609.47,38.72,42.59,15,742,28730.24,7828.1,Hospital Outpatient,Cash,542,50,80,0,2025-03-18,2025-06-26,2027-02-09,693,Cold Chain (2-8°C),2.0,8.0,0,1,Non-Controlled,1,INS-105,Cold Vault-2,Aisle-10-R1,BIN-533,Protect from Light,366,Recall,10310.22,N/A,Approved
BAT-2026-15778,SKU-256445,225-8450-21,Metformin 800mg,Antidiabetic,Oral,Tablet,Bottle,SUP-8569,Apex Health Supplies,Switzerland,PO-25566,559,16.02,0.84,0.0,9424.74,24.4,26.84,10,488,11907.2,4089.44,In-Store Pharmacy,Cash,71,50,40,0,2024-11-06,2025-01-09,2026-10-26,719,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,1,INS-108,Cold Vault-1,Aisle-17-R1,BIN-859,Protect from Light,0,None,0.0,N/A,N/A
BAT-2026-10464,SKU-950544,778-4475-92,Omeprazole 20mg,Gastrointestinal,Oral,Capsule,Bottle,SUP-8569,Apex Health Supplies,UK,PO-88852,1437,77.85,5.61,0.18,140068.7,104.13,114.54,20,1104,114959.52,29013.12,Emergency ICU,Cash,333,50,20,0,2025-06-29,2025-08-17,2026-04-30,305,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,1,INS-111,Cold Vault-1,Aisle-7-R1,BIN-997,Standard Handling,333,Expired,25924.05,Incineration,Approved
BAT-2026-53719,SKU-690180,754-1349-16,Albuterol Inhaler,Respiratory,Inhalation,Inhaler,Canister Box,SUP-7152,GlobalMed Logistics,Switzerland,PO-63558,121,146.69,7.11,0.12,20739.74,244.73,269.2,10,92,22515.16,9019.68,Online Fulfillment,Government Health Aid,29,100,40,0,2025-05-18,2025-06-21,2027-03-10,661,Room Temperature (15-25°C),15.0,25.0,1,1,Non-Controlled,1,INS-103,Cold Vault-1,Aisle-10-R5,BIN-481,Fragile Glass,8,Packaging Defect,1173.52,N/A,Pending Audit
BAT-2026-27146,SKU-418594,905-6464-41,Atorvastatin 20mg,Cardiovascular,Oral,Tablet,Strip,SUP-9028,PharmaDist Inc,UK,PO-24461,352,22.28,1.62,0.18,9824.46,33.61,36.97,10,282,9478.02,3195.06,Hospital Outpatient,Insurance,70,50,40,0,2025-05-10,2025-08-22,2027-05-04,724,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,1,INS-106,Hazmat Vault,Aisle-19-R5,BIN-177,Fragile Glass,0,None,0.0,N/A,N/A
BAT-2026-93507,SKU-189318,228-4362-18,Sertraline 50mg,Psychiatric,Oral,Tablet,Blister Pack,SUP-7152,GlobalMed Logistics,USA,PO-25842,847,64.04,3.11,0.18,66639.59,87.57,96.33,10,379,33189.03,8917.87,In-Store Pharmacy,Government Health Aid,468,200,40,0,2025-06-30,2025-08-26,2027-06-25,725,Room Temperature (15-25°C),15.0,25.0,1,1,Non-Controlled,1,INS-109,Zone-B,Aisle-6-R3,BIN-386,Protect from Light,0,None,0.0,N/A,N/A
BAT-2026-44335,SKU-360247,949-4394-85,Lorazepam 1mg,Psychiatric,Oral,Tablet,Bottle,SUP-5813,Nexus BioPharma,Germany,PO-58442,956,176.44,4.36,0.05,181278.63,252.88,278.17,0,784,198257.92,59928.96,In-Store Pharmacy,Government Health Aid,172,200,20,0,2025-05-05,2025-07-09,2026-08-27,479,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,1,INS-108,Hazmat Vault,Aisle-2-R5,BIN-527,Standard Handling,172,Expired,30347.68,Incineration,Approved
BAT-2026-31178,SKU-224205,321-4817-52,Amoxicillin 500mg,Antibiotic,Oral,Capsule,Blister Pack,SUP-8569,Apex Health Supplies,India,PO-84942,1684,29.15,2.16,0.12,58616.67,37.83,41.61,20,1251,47325.33,10858.68,Hospital Outpatient,Government Health Aid,433,50,20,0,2025-04-17,2025-07-14,2027-01-19,642,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,1,INS-109,Zone-B,Aisle-1-R1,BIN-769,Fragile Glass,157,Damaged/Spillage,4576.55,Incineration,Approved
BAT-2026-67912,SKU-685181,892-3417-86,Sertraline 50mg,Psychiatric,Oral,Tablet,Blister Pack,SUP-8569,Apex Health Supplies,UK,PO-47957,574,155.15,9.75,0.18,110682.7,198.99,218.89,20,389,77407.11,17053.76,Online Fulfillment,Insurance,185,50,20,0,2025-02-18,2025-03-05,2026-08-28,556,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,1,INS-105,Zone-B,Aisle-10-R4,BIN-122,Protect from Light,185,Expired,28702.75,Incineration,Approved
BAT-2026-82309,SKU-901577,102-5542-28,Sertraline 50mg,Psychiatric,Oral,Tablet,Blister Pack,SUP-9028,PharmaDist Inc,Switzerland,PO-15279,1182,151.13,7.58,0.12,209031.5,208.92,229.81,5,1025,214143.0,59234.75,Emergency ICU,Cash,157,50,20,0,2025-04-03,2025-06-22,2025-12-06,247,Room Temperature (15-25°C),15.0,25.0,0,1,Schedule IV,1,INS-111,Zone-A,Aisle-7-R3,BIN-404,Standard Handling,157,Expired,23727.41,Incineration,Approved
BAT-2026-66057,SKU-536390,233-9850-42,Insulin Glargine 100IU/ml,Antidiabetic,Injectable,Vial,Carton Box,SUP-7152,GlobalMed Logistics,USA,PO-78521,610,28.36,2.1,0.12,20656.55,47.54,52.29,0,420,19966.8,8055.6,In-Store Pharmacy,Insurance,190,200,80,0,2025-01-06,2025-04-21,2026-01-13,372,Cold Chain (2-8°C),2.0,8.0,1,0,Schedule IV,1,INS-105,Cold Vault-2,Aisle-18-R1,BIN-888,Protect from Light,190,Expired,5388.4,Incineration,Approved
BAT-2026-83519,SKU-735770,917-3858-24,Lisinopril 10mg,Cardiovascular,Oral,Tablet,Bottle,SUP-7152,GlobalMed Logistics,UK,PO-30093,1805,198.6,13.51,0.18,447383.69,320.01,352.01,5,940,300809.4,114125.4,Online Fulfillment,Cash,865,200,40,0,2025-06-12,2025-10-03,2027-03-22,648,Room Temperature (15-25°C),15.0,25.0,1,0,Non-Controlled,1,INS-105,Hazmat Vault,Aisle-14-R5,BIN-135,Fragile Glass,21,Packaging Defect,4170.6,N/A,Approved
BAT-2026-11267,SKU-725084,776-1422-26,Ceftriaxone 1g,Antibiotic,Injectable,Vial,Vial Pack,SUP-5813,Nexus BioPharma,USA,PO-25432,1599,30.28,1.84,0.05,53780.77,50.89,55.98,20,1225,62340.25,25247.25,Emergency ICU,Government Health Aid,374,100,40,0,2025-04-30,2025-07-16,2026-01-24,269,Cold Chain (2-8°C),2.0,8.0,0,1,Non-Controlled,1,INS-109,Cold Vault-2,Aisle-17-R2,BIN-222,Standard Handling,374,Expired,11324.72,Incineration,Pending Audit
BAT-2026-24663,SKU-929151,115-6869-40,Azithromycin 250mg,Antibiotic,Oral,Tablet,Blister Pack,SUP-8569,Apex Health Supplies,USA,PO-58688,799,107.04,6.12,0.05,94691.09,176.0,193.6,20,542,95392.0,37376.32,Emergency ICU,Insurance,257,200,40,0,2025-07-03,2025-09-17,2026-03-22,262,Room Temperature (15-25°C),15.0,25.0,1,1,Non-Controlled,1,INS-104,Cold Vault-2,Aisle-17-R3,BIN-409,Standard Handling,257,Expired,27509.28,Incineration,Approved
BAT-2026-19862,SKU-748458,702-6304-12,Atorvastatin 20mg,Cardiovascular,Oral,Tablet,Strip,SUP-0769,BioCare Distribution,USA,PO-49967,1075,3.68,0.1,0.18,4775.58,5.95,6.55,0,424,2522.8,962.48,In-Store Pharmacy,Insurance,651,50,80,0,2025-07-05,2025-09-13,2027-02-05,580,Room Temperature (15-25°C),15.0,25.0,1,1,Non-Controlled,1,INS-106,Cold Vault-2,Aisle-2-R2,BIN-245,Keep Refrigerated,0,None,0.0,N/A,N/A
BAT-2026-29536,SKU-336650,278-5347-16,Insulin Glargine 100IU/ml,Antidiabetic,Injectable,Vial,Carton Box,SUP-0769,BioCare Distribution,Germany,PO-59081,1906,130.7,8.55,0.12,295304.2,197.19,216.91,15,727,143357.13,48338.23,Emergency ICU,Insurance,1179,50,20,0,2025-05-10,2025-07-15,2026-05-08,363,Cold Chain (2-8°C),2.0,8.0,1,0,Non-Controlled,1,INS-105,Cold Vault-2,Aisle-4-R4,BIN-369,Fragile Glass,1179,Expired,154095.3,Incineration,Approved
BAT-2026-81511,SKU-913373,229-7897-77,Metformin 800mg,Antidiabetic,Oral,Tablet,Bottle,SUP-7152,GlobalMed Logistics,India,PO-49748,289,89.14,2.71,0.12,29636.03,139.27,153.2,10,228,31753.56,11429.64,Online Fulfillment,Insurance,61,50,20,0,2025-06-19,2025-10-05,2026-10-07,475,Room Temperature (15-25°C),15.0,25.0,1,0,Non-Controlled,1,INS-111,Hazmat Vault,Aisle-6-R2,BIN-567,Keep Refrigerated,37,Contamination,3298.18,Incineration,Approved
BAT-2026-14722,SKU-647957,216-2041-70,Sertraline 50mg,Psychiatric,Oral,Tablet,Blister Pack,SUP-5813,Nexus BioPharma,Germany,PO-48532,1057,145.04,11.47,0.05,173096.43,244.35,268.79,5,579,141478.65,57500.49,Emergency ICU,Cash,478,100,20,0,2025-08-03,2025-11-25,2026-04-18,258,Room Temperature (15-25°C),15.0,25.0,1,1,Schedule IV,1,INS-109,Zone-A,Aisle-11-R1,BIN-919,Fragile Glass,478,Expired,69329.12,Incineration,Approved
